displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
University of Pittsburgh,62,https://www.usnews.com/dims4/USNEWS/46e075d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcb%2F27750e68ae1da0cb0935e0a9b92eba%2Fcollege-photo_31411.jpg,"Pittsburgh, PA",Pitt
Virginia Tech,62,https://www.usnews.com/dims4/USNEWS/a430031/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F17%2Fdf%2Fcbd3365f48618e8ce9f9396a5e97%2F190913virginia-tech1.jpg,"Blacksburg, VA",
Texas A&M University,67,https://www.usnews.com/dims4/USNEWS/80a4006/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1c%2Fb43467b2657e9b0f6411e7d772305c%2Fcollege-photo_22984.jpg,"College Station, TX",Texas A & M University--College Station Texas A and M University--College Station Texas A&M University College Station
University of Connecticut,67,https://www.usnews.com/dims4/USNEWS/d1511a1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd1%2F202f4160cac59750a606d3da18307f%2Fcollege-photo_18368.jpg,"Storrs, CT",UConn
University of Massachusetts--Amherst,67,https://www.usnews.com/dims4/USNEWS/5362b80/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0b%2Fa6d5f07e506eb7bd3df0cd435e78fc%2F1_2014_08_30_Football_Gillette_js_MG_2843-48.jpg,"Amherst, MA",UMass Amherst University of Massachusetts Amherst
Worcester Polytechnic Institute,67,https://www.usnews.com/dims4/USNEWS/a9d0001/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9b%2F18766e26dfae548c231e4f11891a2c%2FWPI_photo_1.jpg,"Worcester, MA",WPI
Yeshiva University,67,https://www.usnews.com/dims4/USNEWS/b506e61/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F6d%2F10%2Fbd1e08344b188ccb7bc27358ac27%2F1024x355-4.jpg,"New York, NY",
American University,72,https://www.usnews.com/dims4/USNEWS/82b9431/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa5%2Fbf592471bcd3a13a8ce5b8452ca2e1%2Fcollege-photo_293.jpg,"Washington, DC",
Fordham University,72,https://www.usnews.com/dims4/USNEWS/b789dd4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7d%2F2c660496b823f534b6a70c2e3eb2cc%2Fcollege-photo_12860.jpg,"New York, NY",
Indiana University--Bloomington,72,https://www.usnews.com/dims4/USNEWS/085e96d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F71%2Fd5039cf1209140b9105a4696b0b155%2F0001.jpg,"Bloomington, IN",IU Bloomington Indiana University Bloomington
North Carolina State University,72,https://www.usnews.com/dims4/USNEWS/88ffe78/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F34%2F12%2F8fa2bd9b4d8ba84047255a13127a%2F210402-ncstate1-submitted.jpg,"Raleigh, NC",NC State North Carolina State University Raleigh
Southern Methodist University,72,https://www.usnews.com/dims4/USNEWS/fcb74b8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F39%2Fda%2F69d9ea624249ad57aa9f8274d0e1%2Fsmu-hero-image-1920x760.jpg,"Dallas, TX",SMU
Baylor University,77,https://www.usnews.com/dims4/USNEWS/3b19498/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8b%2Ffa3e63d95c8d04d588236fa7237b3e%2Fcollege-photo_33114.jpg,"Waco, TX",
Clemson University,77,https://www.usnews.com/dims4/USNEWS/1fe1bb0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc3%2F836acf068a9b227834e0adda226ac2%2FPicture1.jpg,"Clemson, SC",
Loyola Marymount University,77,https://www.usnews.com/dims4/USNEWS/7605dfe/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fcb%2F65%2Fe872ade240b684c6df5b23400f97%2F210910-submitted.png,"Los Angeles, CA",LMU
Michigan State University,77,https://www.usnews.com/dims4/USNEWS/5737f42/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F64%2F8948b60c1375c3871898da724f2083%2Fcollege-photo_15870.jpg,"East Lansing, MI",MSU
The Pennsylvania State University,77,https://www.usnews.com/dims4/USNEWS/741ee69/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0e%2F5de474cdda2fe39ff0c60d2db0259e%2Fcollege-photo_5953.jpg,"University Park, PA",Penn State Pennsylvania State University University Park
Stony Brook University--SUNY,77,https://www.usnews.com/dims4/USNEWS/31cadc0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F1e%2F17ea0f164408baef4ef7db8fda0c%2F210331-submitted.JPG,"Stony Brook, NY",Stony Brook SUNY Stony Brook Stony Brook University SUNY
Binghamton University--SUNY,83,https://www.usnews.com/dims4/USNEWS/28819b6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4b%2Fe2c046fb1c3ae257f28abef818079c%2Fcollege-photo_21371.jpg,"Binghamton, NY",Binghamton University SUNY Binghamton Binghamton University SUNY
Gonzaga University,83,https://www.usnews.com/dims4/USNEWS/87b30fa/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc2%2F93f11440babd41bacc24e6cc1e8e65%2FCollege_Hall_US_News.jpg,"Spokane, WA",
Marquette University,83,https://www.usnews.com/dims4/USNEWS/f319cb0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F60%2F92652cf37cd44afa31adbfb4c9b7a3%2Fcollege-photo_7947.jpg,"Milwaukee, WI",
Stevens Institute of Technology,83,https://www.usnews.com/dims4/USNEWS/d4d2891/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa8%2Fe21b1a4c78eec18a599763e6e6fa44%2Fcollege-photo_26182.jpg,"Hoboken, NJ",
