displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
University of Utah,61,https://www.usnews.com/dims4/USNEWS/dd1232a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2F56e451b77163161894c4def98b68fd%2Fcollege-photo_20743.jpg,"Salt Lake City, UT",
Worcester Polytechnic Institute,61,https://www.usnews.com/dims4/USNEWS/a9d0001/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9b%2F18766e26dfae548c231e4f11891a2c%2FWPI_photo_1.jpg,"Worcester, MA",WPI
Michigan Technological University,68,https://www.usnews.com/dims4/USNEWS/66661ac/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa6%2Fc3%2F896aa01f468f894c5d8fd5e5addc%2F190903michigan-technological-university15.jpg,"Houghton, MI",
Oregon State University,68,https://www.usnews.com/dims4/USNEWS/ff5e7a9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F18%2Fae9b41ecff0c371c7a130859c1c2ec%2Fcollege-photo_20198.jpg,"Corvallis, OR",
University at Buffalo--SUNY,68,https://www.usnews.com/dims4/USNEWS/f5ad67d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F77%2Fd11664668f460e23962439d7ffadeb%2Fstadium-DJI_0047_1.jpg,"Buffalo, NY",SUNY Buffalo University at Buffalo SUNY
University of Connecticut,68,https://www.usnews.com/dims4/USNEWS/d1511a1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd1%2F202f4160cac59750a606d3da18307f%2Fcollege-photo_18368.jpg,"Storrs, CT",UConn
University of Iowa,68,https://www.usnews.com/dims4/USNEWS/f50a7e8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F0a%2Fab%2F705723444698a40a766577a58851%2F2021-09-27-pentacrest-dusk-and-blue-hour-drone-sept-2021-jatorner-0108-1.jpg,"Iowa City, IA",
University of Rochester,68,https://www.usnews.com/dims4/USNEWS/42f70cb/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5a%2F2887d63495624806c3c4382a318ca6%2Fcollege-photo_27480.jpg,"Rochester, NY",
"University of Tennessee, Knoxville",68,https://www.usnews.com/dims4/USNEWS/d95f2a1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F78%2Faab209b61937fba4fb28a5fde2886e%2F_BP_5904.jpg,"Knoxville, TN",
Colorado State University,75,https://www.usnews.com/dims4/USNEWS/b525c23/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1b%2F39c7b12c21620c4da4701c48ca0786%2F23017_06884.jpg,"Fort Collins, CO",
