displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
Saint Louis University,67,https://www.usnews.com/dims4/USNEWS/e93a048/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fae%2F6935980fac0ae17639b20b2733fcb5%2FClock-Tower.jpg,"St. Louis, MO",St Louis University Saint Louis University
South Dakota State University,67,https://www.usnews.com/dims4/USNEWS/57c8d98/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa1%2Fa62caf4617c6d3c133d4e08530dc98%2Fcollege-photo_20305.jpg,"Brookings, SD",
Stony Brook University--SUNY,67,https://www.usnews.com/dims4/USNEWS/31cadc0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F1e%2F17ea0f164408baef4ef7db8fda0c%2F210331-submitted.JPG,"Stony Brook, NY",Stony Brook SUNY Stony Brook Stony Brook University SUNY
Texas A&M University,67,https://www.usnews.com/dims4/USNEWS/80a4006/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1c%2Fb43467b2657e9b0f6411e7d772305c%2Fcollege-photo_22984.jpg,"College Station, TX",Texas A & M University--College Station Texas A and M University--College Station Texas A&M University College Station
Texas Christian University,67,https://www.usnews.com/dims4/USNEWS/0f46e1d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd9%2F2474513b6fa8f7b51ceb5460d7dceb%2FIMG_0667.jpg,"Fort Worth, TX",TCU
Texas Tech University Health Sciences Center-Lubbock,67,,"Lubbock, TX",
Thomas Jefferson University,67,https://www.usnews.com/dims4/USNEWS/d84bbdf/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4a%2Fa63cde11784a8a916da918d8359e7c%2Fcollege-photo_36792.jpg,"Philadelphia, PA",
University at Buffalo--SUNY,67,https://www.usnews.com/dims4/USNEWS/f5ad67d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F77%2Fd11664668f460e23962439d7ffadeb%2Fstadium-DJI_0047_1.jpg,"Buffalo, NY",SUNY Buffalo University at Buffalo SUNY
University of Arkansas for Medical Sciences,67,,"Little Rock, AR",
University of Colorado Colorado Springs,67,https://www.usnews.com/dims4/USNEWS/ccb6892/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1d%2Fa32236987b092b422232ec8ad297d3%2Fcollege-photo_24979.jpg,"Colorado Springs, CO",UCCS University of Colorado Colorado Springs
University of Massachusetts--Boston,67,https://www.usnews.com/dims4/USNEWS/24f3571/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F05%2Fd8dafebbabfd2b8e4145176be41aec%2Fcollege-photo_29208.jpg,"Boston, MA",UMass University of Massachusetts Boston
University of Mississippi,67,https://www.usnews.com/dims4/USNEWS/f6e61ab/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd9%2F65d1ab859c99e837d4a16f1b1e41b2%2Fcollege-photo_19940.jpg,"University, MS",Ole Miss
University of Missouri,67,https://www.usnews.com/dims4/USNEWS/cba0f99/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fac%2Fea309eb04f4ae7b44a52c496298468%2Fcollege-photo_36234.jpg,"Columbia, MO",Mizzou
